,game,game_id
0,Rise: Battle Lines ,386350
1,Go! Go! Nippon! ~My First Trip to Japan~ ,251870
2,Save 30% on Stage of Development: Indie City ,591480
3,Soviet Monsters: Ekranoplans ,372160
4,Toricky ,477720
5,Age of Empires II HD ,221380
6,RiME ,493200
7,DRAGON BALL XENOVERSE 2 ,454650
8,Mind Unleashed ,450740
9,PULSAR: Lost Colony ,252870
10,AltspaceVRThe Social VR App ,407060
11,FORTIFY ,505040
12,Runbow ,464650
13,Labyrinth ,412310
14,Torch Cave ,501690
15,Sleengster ,559500
16,Rage Parking Simulator 2016 ,449630
17,Squad ,393380
18,Pixvana SPIN Technology Preview ,534690
19,Torch Cave 2 ,533710
20,Skull Rush ,587210
21,Fur Fun ,589370
22,High Fidelity ,390540
23,Urban Pirate: The 8-bit Soundtrack ,523910
24,Syndrome ,409320
25,Clash Cup Turbo ,393280
26,Red Crucible: Firestorm ,298240
27,Mutant Fighting Cup 2 ,561450
28,Grappledrome ,242610
29,Constellation Distantia ,570150
30,Oxygen Not Included ,457140
31,Fernbus Simulator ,427100
32,Thunderbird: The Legend Begins ,355460
33,Rogalia ,528460
34,Cossacks 3 ,333420
35,FEMINAZI: The Triggering ,585550
36,Ashes of the Singularity: Escalation ,507490
37,Super Dungeon Bros ,306000
38,Rust ,252490
39,Save 25% on Milkmaid of the Milky Way - Soundtrack ,579960
40,FEIST ,327060
41,Fishing Planet ,380600
42,War Thunder ,236390
43,Urban Pirate: The 8-bit Soundtrack ,523910
44,Soviet Monsters: Ekranoplans ,372160
45,Ethereal Legends ,428980
46,Rise: Battle Lines ,386350
47,Go! Go! Nippon! ~My First Trip to Japan~ ,251870
48,Save 30% on Stage of Development: Indie City ,591480
49,Toricky ,477720
50,Age of Empires II HD ,221380
51,RiME ,493200
52,DRAGON BALL XENOVERSE 2 ,454650
53,Mind Unleashed ,450740
54,PULSAR: Lost Colony ,252870
55,AltspaceVRThe Social VR App ,407060
56,FORTIFY ,505040
57,Runbow ,464650
58,Labyrinth ,412310
59,Torch Cave ,501690
60,Sleengster ,559500
61,Rage Parking Simulator 2016 ,449630
62,Squad ,393380
63,Pixvana SPIN Technology Preview ,534690
64,Torch Cave 2 ,533710
65,Skull Rush ,587210
66,Fur Fun ,589370
67,High Fidelity ,390540
68,Syndrome ,409320
69,Clash Cup Turbo ,393280
70,Red Crucible: Firestorm ,298240
71,Mutant Fighting Cup 2 ,561450
72,Grappledrome ,242610
73,Constellation Distantia ,570150
74,Oxygen Not Included ,457140
75,Fernbus Simulator ,427100
76,Thunderbird: The Legend Begins ,355460
77,Rogalia ,528460
78,Cossacks 3 ,333420
79,FEMINAZI: The Triggering ,585550
80,Ashes of the Singularity: Escalation ,507490
81,Super Dungeon Bros ,306000
82,Rust ,252490
83,Save 25% on Milkmaid of the Milky Way - Soundtrack ,579960
84,FEIST ,327060
85,Fishing Planet ,380600
86,War Thunder ,236390
87,Friday the 13th: The Game ,438740
88,Automation - The Car Company Tycoon Game ,293760
89,Tom Clancys The Division ,365590
90,Western 1849 Reloaded ,576980
91,Dead by Daylight ,381210
92,Save 20% on Fantasy Grounds ,252690
93,Golf It! ,571740
94,Awaken ,555970
95,A Gummy's Life ,585190
96,Empyrion - Galactic Survival ,383120
97,The Exiled ,332650
98,Skulls of the Shogun ,228960
99,Raw Data ,436320
100,Space Pilgrim Episode I: Alpha Centauri ,429470
101,Wevr Transport ,450360
102,Day of Infamy ,447820
103,ASTRONEER ,361420
104,Stage Presence ,391640
105,DCS World ,223750
106,Finding Bigfoot ,509980
107,Space Hulk: Deathwing ,298900
108,The Elder Scrolls V: Skyrim ,72850
109,Dead Realm ,352460
110,Copoka ,582620
111,Battlesloths 2025: The Great Pizza Wars ,459350
112,Dropzone ,572520
113,Pre-purchase Sniper Elite 4 ,312660
114,Zombie Ballz ,581970
115,Until I Have You ,439310
116,Shantae: Half-Genie Hero ,253840
117,Tuebor: I Will Defend ,521330
118,Smashbox Arena ,530350
119,Fourtex Jugo ,499560
120,Decksplash ,499470
121,Torment: Tides of Numenera ,272270
122,The Four Kings Casino and Slots ,260430
123,Save 20% on Sid Meiers Civilization VI ,289070
124,Buildanauts ,394490
125,Save 10% on Phoning Home ,431650
126,The Isle ,376210
127,Jack Nicklaus Perfect Golf ,288140
128,The Walking Dead: A New Frontier ,536220
129,N++ (NPLUSPLUS) ,230270
130,Milkmaid of the Milky Way ,544970
131,Milkmaid of the Milky Way ,544970
132,Medieval Engineers ,333950
133,Bloody Boobs ,545250
134,Spiral Knights ,99900
135,Tooth and Tail ,286000
136,8-Bit Armies: Arena ,586040
137,Dirty Bomb - Fire and Light Pack ,492420
138,WWE 2K17 ,510510
139,Pre-purchase Prey ,480490
140,Offworld Trading Company ,271240
141,Intralism ,513510
142,Pit People ,291860
143,Overgrowth ,25000
144,Dirty Bomb - Down and Dirty Starter Pack ,414390
145,Fluffy ,578260
146,Aerofly FS 2 Flight Simulator ,434030
147,A House of Many Doors ,437250
148,Goalie Challenge VR ,588290
149,Galaxy Control: 3D Strategy ,435440
150,ROKH ,462440
151,Domina ,535230
152,Gigachess ,415910
153,Captain Lycop : Invasion of the Heters ,582180
154,Captain Lycop : Invasion of the Heters ,525070
155,Panzer Warfare ,513880
156,Osiris: New Dawn ,402710
157,Save 75% on Why So Evil 2: Dystopia ,354850
158,Why So Evil ,331710
159,They Came From The Moon ,432150
160,/reality ,562280
161,PAYDAY 2: John Wick Heists ,591710
162,GooCubelets: The Void ,505440
163,GooCubelets: The Algoorithm ,431270
164,PAYDAY 2 ,218620
165,GooCubelets: OCD ,460660
166,Save 67% on Aqua Moto Racing Utopia ,468100
167,GooCubelets 2 ,416270
168,GooCubelets ,397620
169,Fiends of Imprisonment ,410590
170,Save 87% on Cyborg Detonator ,462370
